TYPE,NAME,ADDRESS,COMM_CODE,longitude,latitude,location
Community Centre,Woodcreek Community Centre,1991 Woodview DR SW,WOO,-114.104870597285,50.9411118992058,"(50.9411118992058, -114.104870597285)"
Community Centre,Cedarbrae Community Centre,11024 Oakfield DR SW,CED,-114.129881014656,50.9545475196074,"(50.9545475196074, -114.129881014656)"
Community Centre,Falconridge/Castleridge Community Centre,95 Falshire DR NE,FAL,-113.946307977399,51.1045491547784,"(51.1045491547784, -113.946307977399)"
Community Centre,Mid-Sun Community Centre,50 Midpark RI SE,MID,-114.056625204542,50.915437688872,"(50.915437688872, -114.056625204542)"
Community Centre,Elbow Park Community Centre,800 34 AV SW,EPK,-114.082175493325,51.0234618813435,"(51.0234618813435, -114.082175493325)"
PHS Clinic,Sheldon M. Chumir Health Centre,1213 - 4 ST SW,BLN,-114.072129561236,51.0411634415987,"(51.0411634415987, -114.072129561236)"
PHS Clinic,Shaganappi Complex Health Centre,3415 - 8 AV SW,SPR,-114.136841893712,51.0448871241096,"(51.0448871241096, -114.136841893712)"
PHS Clinic,Northwest Community Health Centre,109 1829 Ranchlands BV NW,RAN,-114.197161520879,51.1233335522583,"(51.1233335522583, -114.197161520879)"
PHS Clinic,South Calgary Health Centre,31 Sunpark Plaza SE,SDC,-114.058574974432,50.9025752725878,"(50.9025752725878, -114.058574974432)"
PHS Clinic,Village Square Community Health Centre,2623 - 56 ST NE,PIN,-113.953555695144,51.0755389279621,"(51.0755389279621, -113.953555695144)"
PHS Clinic,North Hill Community Health Centre,1527 19 ST NW,HOU,-114.106507091151,51.0653215926787,"(51.0653215926787, -114.106507091151)"
PHS Clinic,Acadia Community Health Centre,151 - 86 AV SE,ACA,-114.070940104391,50.97507203441,"(50.97507203441, -114.070940104391)"
PHS Clinic,East Calgary Health Centre,4715 8 AV SE,FLN,-113.967220085566,51.0450485402752,"(51.0450485402752, -113.967220085566)"
Library,Shawnessy Library,333 SHAWVILLE BV SE,SHN,-114.06395702504,50.8980340345666,"(50.8980340345666, -114.06395702504)"
Library,Crowfoot Library,8665 NOSE HILL DR NW,ARB,-114.192540540188,51.1308697377503,"(51.1308697377503, -114.192540540188)"
Library,Judith Umbach Library,6617 CENTRE ST N,HUN,-114.063967739382,51.111879817454,"(51.111879817454, -114.063967739382)"
Library,Forest Lawn Branch,4807 8 AV SE,FLN,-113.965283886095,51.0448055847474,"(51.0448055847474, -113.965283886095)"
PHS Clinic,Thornhill Community Health Centre,6617 Centre ST NW,HUN,-114.063914594327,51.1121861933313,"(51.1121861933313, -114.063914594327)"
Visitor Info,Tourism Calgary Tower,101 9 AV SW,DNC,-114.063068971651,51.0443324511161,"(51.0443324511161, -114.063068971651)"
Visitor Info,Tourism Calgary Central Office,200 238 11 AV SW,BLN,-114.067521188697,51.0427491978594,"(51.0427491978594, -114.067521188697)"
Visitor Info,Calgary City Hall & Municipal Complex,800 Macleod TR SE,DNC,-114.057055571529,51.0453690442574,"(51.0453690442574, -114.057055571529)"
Visitor Info,Calgary Chamber of Commerce,600 237 8 AV SE,DNC,-114.05836753988,51.0451849276814,"(51.0451849276814, -114.05836753988)"
Visitor Info,Tourism Calgary Airport,2000 Airport RD NE,CIA,-114.009245690139,51.1313100716695,"(51.1313100716695, -114.009245690139)"
Library,Central Library,616 MACLEOD TR SE,DNC,-114.057567218766,51.0468005412264,"(51.0468005412264, -114.057567218766)"
Attraction,Fish Creek Provincial Park (Learning Centre),13931 Woodpath RD SW,FPK,-114.132096218318,50.9276003079094,"(50.9276003079094, -114.132096218318)"
Attraction,Fish Creek Provincial Park (Bow Valley Ranch),15979 Bow Bottom TR SE,FPK,-114.015107550249,50.9093385811083,"(50.9093385811083, -114.015107550249)"
Attraction,Fort Calgary,750 9 AV SE,DNE,-114.045188348899,51.0440587967929,"(51.0440587967929, -114.045188348899)"
Attraction,Glenbow Alberta Museum,130 9 AV SE,DNC,-114.061123695775,51.0447061010193,"(51.0447061010193, -114.061123695775)"
Community Centre,Lake Bonavista Downs Community Centre,1418 Lake Ontario RD SE,BDO,-114.031916274223,50.9418731488951,"(50.9418731488951, -114.031916274223)"
Community Centre,Braeside Community Centre,11024 Braeside DR SW,BRA,-114.102036401801,50.95434611068,"(50.95434611068, -114.102036401801)"
Community Centre,Albert Park / Radisson Heights Community Centre,1310 28 ST SE,ALB,-113.99272513308,51.0415313705689,"(51.0415313705689, -113.99272513308)"
Community Centre,Montgomery Community Centre,5003 - 16 AV NW,MON,-114.165605799164,51.0716084928057,"(51.0716084928057, -114.165605799164)"
Community Centre,Marlborough Park Community Centre,6021 Madigan DR NE,MPK,-113.942486943028,51.0600450440598,"(51.0600450440598, -113.942486943028)"
Social Dev Ctr,Bowmont,5000 BOWNESS RD NW,MON,-114.164955148952,51.0755251086443,"(51.0755251086443, -114.164955148952)"
